Model Name,learning_rate,n_estimators,Accuracy
AdaBoostClassifier,0.1,1,0.3868290644217565
,0.1,2,0.45498238700817956
,0.1,5,0.5325541823392442
,0.1,10,0.49317869723565594
,0.6,1,0.3868290644217565
,0.6,2,0.4548181981013792
,0.6,5,0.5325541823392442
,0.6,10,0.5325541823392442
,0.8,1,0.3868290644217565
,0.8,2,0.4548181981013792
,0.8,5,0.5325541823392442
,0.8,10,0.5325541823392442
,1.0,1,0.3868290644217565
,1.0,2,0.4548181981013792
,1.0,5,0.4963579915218819
,1.0,10,0.4548181981013792
Accuracy,Precision,Recall,F1
0.5298039334525289,0.3720569038534795,0.46558721789747587,0.4063407967462977
