Model Name,C,gamma,kernel,Accuracy
SVC,0.1,1.0,poly,0.6582118834080718
,0.1,1.0,rbf,0.6582118834080718
,0.1,0.1,poly,0.41045403587443946
,0.1,0.1,rbf,0.6149169869741619
,0.1,0.01,poly,0.2552250160153748
,0.1,0.01,rbf,0.2552250160153748
,0.1,0.001,poly,0.2552250160153748
,0.1,0.001,rbf,0.2552250160153748
,1.0,1.0,poly,0.6582118834080718
,1.0,1.0,rbf,0.6582118834080718
,1.0,0.1,poly,0.5671711509715994
,1.0,0.1,rbf,0.6582118834080718
,1.0,0.01,poly,0.2552250160153748
,1.0,0.01,rbf,0.6149169869741619
,1.0,0.001,poly,0.2552250160153748
,1.0,0.001,rbf,0.2552250160153748
,10.0,1.0,poly,0.6582118834080718
,10.0,1.0,rbf,0.6582118834080718
,10.0,0.1,poly,0.5671711509715994
,10.0,0.1,rbf,0.6582118834080718
,10.0,0.01,poly,0.3731448857569934
,10.0,0.01,rbf,0.6582118834080718
,10.0,0.001,poly,0.2552250160153748
,10.0,0.001,rbf,0.6149169869741619
,100.0,1.0,poly,0.6582118834080718
,100.0,1.0,rbf,0.6582118834080718
,100.0,0.1,poly,0.6582118834080718
,100.0,0.1,rbf,0.6582118834080718
,100.0,0.01,poly,0.41045403587443946
,100.0,0.01,rbf,0.6582118834080718
,100.0,0.001,poly,0.2552250160153748
,100.0,0.001,rbf,0.6582118834080718
,100.0,1.0,poly,0.6582118834080718
,100.0,1.0,rbf,0.6582118834080718
,100.0,0.1,poly,0.6582118834080718
,100.0,0.1,rbf,0.6582118834080718
,100.0,0.01,poly,0.41045403587443946
,100.0,0.01,rbf,0.6582118834080718
,100.0,0.001,poly,0.2552250160153748
,100.0,0.001,rbf,0.6582118834080718
Accuracy,Precision,Recall,F1
0.6333333333333333,0.5223838233252934,0.5607730441884995,0.5359764130387444
